,cluster_id,momentum
BLFS,1051,0.0012897678417884
BLK,184,-0.0051056670002755
BLKB,1801,0.0077213144191057
BLMN,149,0.0394636015325668
BLNK,1515,-0.0143646408839779
BLX,1134,0.0120218579234971
BMI,1581,-0.0013155730965302
BNS,163,0.0224333063864188
BOKF,1981,-0.0248376003056935
BRC,1622,0.0157722987672226
BRKL,197,-0.0239197530864198
BRKR,1975,0.0683401044689493
BRO,1857,0.0014267879436418
BRSP,1734,-0.1109607577807847
BRX,502,-0.004416961130742
BRY,1790,0.0074231177094379
BSAC,1912,0.0202622169249107
BSET,1711,0.0080862533692722
BSMX,206,0.0165662650602409
BSRR,52,-0.0009896091044037
BTAI,1250,-0.06234335839599
BTI,6,0.0034156594850234
BUD,6,0.0064250411861614
BURL,1093,-0.0105017502917152
BUSE,30,-0.0057995028997515
BV,211,0.014240506329114
BW,1087,0.0015408320493066
BWA,51,0.0083532219570405
BWB,217,-0.008157715839565
BWXT,1802,0.0219276714122076
BX,1742,-0.0191629955947135
BXC,1867,0.0223960184856024
BXMT,1519,-0.0236183278223901
BXP,65,-0.0053451435552841
BYD,135,0.0039920159680639
BZH,1435,0.0201207243460765
CAAP,1086,-0.0093847758081334
CABO,184,-0.0117142815771564
CAC,2037,0.0014580801944108
CACC,1989,0.0100823693567988
CACI,1843,0.0071672354948806
CADE,1900,-0.0316265060240963
CAE,1403,0.0008857395925598
CAG,19,-0.0153803900027463
CAH,1209,-0.01320829480914
CAJ,1685,0.0027945971122498
CAKE,1915,0.0339209401709401
CAL,603,0.0126388356951361
CALM,1745,0.010387323943662
CALX,1623,-0.0183773216031279
CAMP,1065,0.0187353629976581
CAMT,1995,0.0269174041297934
CAPL,63,0.0079217148182664
CAR,1686,0.0182099608485841
CARA,1509,-0.0354330708661416
CASH,1055,-0.0321505587139776
RC,1463,-0.0310834813499111
CASS,1082,-0.0062421972534333
CASY,1506,0.0158211108439529
CAT,1945,0.0527238572323105
CATC,2020,-0.0347038853262919
CATO,1085,0.0
CATY,18,-0.0219012115563841
CB,477,-0.0124158847502606
CCB,1839,-0.0117009750812567
CCBG,85,0.017381553125876
CCEP,1970,0.012
CCF,1907,0.0264447620992445
CCI,43,-0.0110133843212236
CCJ,1118,0.0179224579370884
CCK,1571,0.005432897930875
CCL,181,0.0131826741996234
CCNE,68,-0.0016778523489932
CCOI,1238,-0.0100401606425701
CCRN,1478,-0.0310018903591682
CCS,24,-0.0140444741681993
CCU,6,0.0494071146245058
CDAY,1097,0.0034279446044152
CDLX,1424,-0.1082568807339449
CDNA,2015,-0.359988109393579
CDNS,228,-0.001554887529802
CDW,2018,-0.0044462009682836
CDXS,1206,-0.0134436401240952
CDZI,1127,0.0024154589371983
CE,1582,0.0630646132667984
CEIX,1920,0.1059747853097021
CELH,1610,0.0397577092511012
CENT,464,0.0037037037037037
CEVA,186,0.015209125475285
CF,1950,0.0115263709395738
CFFN,492,-0.0166865315852206
CFG,13,-0.0337643678160918
CFR,106,-0.0022758306781973
CG,110,0.0023255813953488
CGBD,428,0.027170311464546
CGNX,1446,0.0090813093980992
CHRS,1699,0.0044313146233383
CHRW,1219,0.019524959742351
CHS,1925,0.0782608695652173
CHT,454,0.0128307939053728
CHTR,488,-0.0122956394004516
CHUY,1885,0.0366433566433566
CHX,44,0.0628066732090284
CI,493,-0.0154399178363575
CIB,1912,0.001564945226917
CINF,1451,-0.0095277547638774
CIO,1481,0.0165484633569739
CIR,787,-0.0081995216945677
CL,29,0.0064120054570258
CLBK,2017,-0.0132701421800948
CLDT,27,0.0106470106470104
CLDX,173,0.0843655059593362
CLF,133,0.0417252695733709
CLFD,1173,-0.0177061732333705
CLH,779,0.0321041871734686
CLNE,1946,-0.182142857142857
CLS,1455,0.0054054054054053
CLW,1891,-0.001036537963203
CLX,19,0.0066906845084919
CM,49,-0.0021867483052699
CMA,1303,-0.0265335235378031
CMC,442,0.0156521739130435
CMCO,1270,0.0269396551724137
CMCSA,1554,-0.0059187516814634
CME,73,0.0061501942166592
CMG,184,0.0028100437266946
CMPR,1340,-0.0059794988610478
CMRE,1193,0.0142857142857142
CMS,38,-0.0013566220111921
CMTL,1535,0.0318949343339587
CNA,26,0.0022841480127913
CNC,1916,0.0027777777777777
CNDT,1541,-0.0050251256281407
CNHI,1199,0.0145719489981785
CNI,842,0.035385020633945
CNK,1926,0.0117560617193239
CNMD,1197,0.0129951138371973
CNNE,1212,-0.0310008857395924
CNO,1141,-0.0031225604996097
CNQ,498,0.0422933993983365
CNS,833,-0.015201768933112
CNTY,135,0.0151187904967602
CNX,1712,0.0410423452768731
CNXN,1128,0.0141552511415525
CODI,1125,-0.0523656407900781
COLM,1305,0.0247706422018347
COMM,1546,0.0621546961325967
CONN,1488,-0.0058343057176196
COST,74,0.003118674872981
CP,842,0.0306821174611535
CPA,1380,0.0199242014076881
CPB,19,-0.0019040365575019
CPE,231,0.0464396284829722
CPK,47,-0.0052306971660551
CPRI,227,0.0040346984062942
CPRT,1425,0.0083735452739144
CPRX,1094,0.0026212319790301
CPS,1436,0.0056426332288401
CPSI,1445,0.0006664445184938
CR,1417,0.0217899482384371
CRAI,1573,-0.121153691652607
CRH,1689,0.0953286831536672
CRI,1153,0.0023875845602863
CRK,1710,0.016474464579901
CRL,1490,0.0318683322695358
CRM,7,0.1404559623494896
CRMT,1023,-0.0169491525423728
CRNX,89,-0.0310590631364562
CROX,1485,0.0299071563552706
CRS,22,0.0509000620732464
CRSP,1362,-0.0026358475263584
CRTO,2027,-0.0184012066365006
CRUS,1905,0.0154744525547445
CSR,1884,-0.0138955438428365
CSTM,1190,0.0318949343339587
CSTR,11,-0.015028901734104
CSV,1520,-0.0011792452830188
CSWC,1290,-0.006386375731772
CSWI,1579,0.0037439954789488
CSX,69,0.0259101344703183
CTAS,1570,-0.0072752981959998
CTBI,30,-0.007953216374269
CTLT,1785,0.0435356200527703
CTO,85,-0.0039817974971556
CTOS,143,-0.0151933701657458
CTRA,1652,0.0336403684421304
CTRE,1913,0.0045754956786985
CTRN,1480,-0.0424393723252495
CTS,1505,0.0242438235973214
CTSH,1383,-0.0015966789078716
CUBE,165,0.011278995530964
CUBI,1264,-0.0224025974025974
CUK,181,0.0103734439834024
CULP,1191,-0.0180505415162454
CUTR,727,-0.0482577860006167
CUZ,1966,0.0224581461821151
CVE,235,0.0347071583514098
CVGW,1929,0.0254105980787109
CVI,61,0.042231326820044
CVLG,1100,0.0303995367689635
CVLT,1437,0.0011888586956521
CVS,82,-0.0252573617428776
CVX,32,0.0111339180195308
CW,1443,0.0228273928714457
CWCO,1638,0.004566210045662
CWEN,1532,-0.0133715377268386
CWH,1421,-0.0179588261060007
CWK,1236,-0.0285935085007726
CWST,1960,-0.0111796453353892
CWT,166,-0.0083857442348008
CX,1595,0.0903614457831323
CXW,1684,0.0030895983522141
CYRX,1887,0.0378578024007387
CYTK,1395,-0.0867158671586715
CZNC,2,-0.0133333333333334
CZR,135,0.0295508274231679
D,38,0.0007279344858963
DAL,150,0.0020865936358893
